"Dates","ET"
2000-01-01,9.30791666666667
2000-01-09,10.9120833333333
2000-01-17,9.05375
2000-01-25,8.71375
2000-02-02,6.99458333333333
2000-02-10,7.80541666666667
2000-02-18,9.03166666666667
2000-02-26,9.38708333333333
2000-03-05,10.1195833333333
2000-03-13,9.66833333333333
2000-03-21,7.87416666666667
2000-03-29,7.79
2000-04-06,6.22083333333333
2000-04-14,5.50208333333333
2000-04-22,5.19416666666667
2000-04-30,5.96583333333333
2000-05-08,4.70583333333333
2000-05-16,3.49125
2000-05-24,4.41666666666667
2000-06-01,3.88333333333333
2000-06-09,3.49125
2000-06-17,3.94125
2000-06-25,3.57791666666667
2000-07-03,4.29208333333333
2000-07-11,3.25083333333333
2000-07-19,4.33875
2000-07-27,3.51916666666667
2000-08-04,16.95875
2000-08-12,4.66583333333333
2000-08-20,6.50875
2000-08-28,6.0125
2000-09-05,6.11958333333333
2000-09-13,5.57541666666667
2000-09-21,6.91083333333333
2000-09-29,6.13833333333333
2000-10-07,6.505
2000-10-15,8.65916666666667
2000-10-23,8.10541666666667
2000-10-31,11.6675
2000-11-08,9.34041666666667
2000-11-16,12.1158333333333
2000-11-24,10.0145833333333
2000-12-02,9.88958333333333
2000-12-10,10.6125
2000-12-18,10.2391666666667
2000-12-26,8.60791666666667
2001-01-01,7.32791666666667
2001-01-09,11.3883333333333
2001-01-17,9.155
2001-01-25,12.5766666666667
2001-02-02,13.59125
2001-02-10,11.9283333333333
2001-02-18,10.5816666666667
2001-02-26,10.94125
2001-03-06,9.37541666666667
2001-03-14,9.085
2001-03-22,7.4525
2001-03-30,7.27458333333333
2001-04-07,5.55166666666667
2001-04-15,5.44208333333333
2001-04-23,5.2725
2001-05-01,4.93625
2001-05-09,4.27958333333333
2001-05-17,3.74875
2001-05-25,3.35041666666667
2001-06-02,3.765
2001-06-10,3.77333333333333
2001-06-18,15.8004166666667
2001-06-26,4.08375
2001-07-04,4.14708333333333
2001-07-12,4.73375
2001-07-20,4.17375
2001-07-28,3.825
2001-08-05,4.36
2001-08-13,4.70083333333333
2001-08-21,4.73166666666667
2001-08-29,6.1425
2001-09-06,6.34791666666667
2001-09-14,6.18625
2001-09-22,5.61416666666667
2001-09-30,7.30416666666667
2001-10-08,6.75166666666667
2001-10-16,6.61416666666667
2001-10-24,7.92416666666667
2001-11-01,8.76416666666667
2001-11-09,7.98958333333333
2001-11-17,8.62041666666667
2001-11-25,9.64458333333333
2001-12-03,10.0779166666667
2001-12-11,10.6225
2001-12-19,9.74083333333333
2001-12-27,4.66666666666667
2002-01-01,10.5825
2002-01-09,10.9604166666667
2002-01-17,11.6758333333333
2002-01-25,11.3191666666667
2002-02-02,16.5925
2002-02-10,10.5429166666667
2002-02-18,10.35
2002-02-26,9.74041666666667
2002-03-06,9.52291666666667
2002-03-14,7.92791666666667
2002-03-22,12.7254166666667
2002-03-30,6.935
2002-04-07,6.64333333333333
2002-04-15,8.15041666666667
2002-04-23,5.01875
2002-05-01,4.52125
2002-05-09,4.48375
2002-05-17,5.25208333333333
2002-05-25,3.79208333333333
2002-06-02,4.29083333333333
2002-06-10,5.06291666666667
2002-06-18,3.70375
2002-06-26,3.13333333333333
2002-07-04,3.33833333333333
2002-07-12,3.42583333333333
2002-07-20,3.35166666666667
2002-07-28,3.84333333333333
2002-08-05,4.31708333333333
2002-08-13,3.55291666666667
2002-08-21,3.46958333333333
2002-08-29,4.94458333333333
2002-09-06,4.35791666666667
2002-09-14,6.18166666666667
2002-09-22,5.4225
2002-09-30,6.17458333333333
2002-10-08,6.69333333333333
2002-10-16,6.55291666666667
2002-10-24,6.59125
2002-11-01,7.32458333333333
2002-11-09,8.25375
2002-11-17,8.67958333333333
2002-11-25,9.23333333333333
2002-12-03,9.89208333333333
2002-12-11,10.4554166666667
2002-12-19,9.75916666666667
2002-12-27,5.83708333333333
2003-01-01,9.84333333333333
